Region,Period,Value,Status,Units,Magnitude,Series_title_1
Auckland Region,2019.05,721535,P,Number ,0,Actual 
Auckland Region,2019.06,723158,P,Number ,0,Actual 
Auckland Region,2019.07,729740,P,Number ,0,Actual 
Auckland Region,2019.08,731506,P,Number ,0,Actual 
Auckland Region,2019.09,735222,P,Number ,0,Actual 
Auckland Region,2019.1,739363,P,Number ,0,Actual 
Auckland Region,2019.11,751806,P,Number ,0,Actual 
Auckland Region,2019.12,756439,P,Number ,0,Actual 
Auckland Region,2020.01,735174,P,Number ,0,Actual 
Auckland Region,2020.02,742294,P,Number ,0,Actual 
Auckland Region,2020.03,748307,P,Number ,0,Actual 
Auckland Region,2020.04,740967,P,Number ,0,Actual 
Auckland Region,2020.05,747269,P,Number ,0,Actual 
Auckland Region,2020.06,750378,P,Number ,0,Actual 
Bay of Plenty Region,2019.05,134191,P,Number ,0,Actual 
Bay of Plenty Region,2019.06,132221,P,Number ,0,Actual 
Bay of Plenty Region,2019.07,131350,P,Number ,0,Actual 
Bay of Plenty Region,2019.08,130972,P,Number ,0,Actual 
Bay of Plenty Region,2019.09,131434,P,Number ,0,Actual 
Bay of Plenty Region,2019.1,132035,P,Number ,0,Actual 
Bay of Plenty Region,2019.11,134782,P,Number ,0,Actual 
Bay of Plenty Region,2019.12,136283,P,Number ,0,Actual 
Bay of Plenty Region,2020.01,133689,P,Number ,0,Actual 
Bay of Plenty Region,2020.02,132999,P,Number ,0,Actual 
Bay of Plenty Region,2020.03,135138,P,Number ,0,Actual 
Bay of Plenty Region,2020.04,133839,P,Number ,0,Actual 
Bay of Plenty Region,2020.05,135377,P,Number ,0,Actual 
Bay of Plenty Region,2020.06,133608,P,Number ,0,Actual 
Canterbury Region,2019.05,291133,P,Number ,0,Actual 
Canterbury Region,2019.06,281992,P,Number ,0,Actual 
Canterbury Region,2019.07,282925,P,Number ,0,Actual 
Canterbury Region,2019.08,283194,P,Number ,0,Actual 
Canterbury Region,2019.09,285698,P,Number ,0,Actual 
Canterbury Region,2019.1,287403,P,Number ,0,Actual 
Canterbury Region,2019.11,291835,P,Number ,0,Actual 
Canterbury Region,2019.12,294747,P,Number ,0,Actual 
Canterbury Region,2020.01,286368,P,Number ,0,Actual 
Canterbury Region,2020.02,288780,P,Number ,0,Actual 
Canterbury Region,2020.03,289688,P,Number ,0,Actual 
Canterbury Region,2020.04,284975,P,Number ,0,Actual 
Canterbury Region,2020.05,286005,P,Number ,0,Actual 
Canterbury Region,2020.06,286737,P,Number ,0,Actual 
Gisborne Region,2019.05,21233,P,Number ,0,Actual 
Gisborne Region,2019.06,21138,P,Number ,0,Actual 
Gisborne Region,2019.07,20980,P,Number ,0,Actual 
Gisborne Region,2019.08,20818,P,Number ,0,Actual 
Gisborne Region,2019.09,20747,P,Number ,0,Actual 
Gisborne Region,2019.1,21124,P,Number ,0,Actual 
Gisborne Region,2019.11,21602,P,Number ,0,Actual 
Gisborne Region,2019.12,22131,P,Number ,0,Actual 
Gisborne Region,2020.01,21729,P,Number ,0,Actual 
Gisborne Region,2020.02,21827,P,Number ,0,Actual 
Gisborne Region,2020.03,22105,P,Number ,0,Actual 
Gisborne Region,2020.04,21081,P,Number ,0,Actual 
Gisborne Region,2020.05,21306,P,Number ,0,Actual 
Gisborne Region,2020.06,21447,P,Number ,0,Actual 
Hawke's Bay Region,2019.05,75347,P,Number ,0,Actual 
Hawke's Bay Region,2019.06,73436,P,Number ,0,Actual 
Hawke's Bay Region,2019.07,72557,P,Number ,0,Actual 
Hawke's Bay Region,2019.08,72013,P,Number ,0,Actual 
Hawke's Bay Region,2019.09,71948,P,Number ,0,Actual 
Hawke's Bay Region,2019.1,71865,P,Number ,0,Actual 
Hawke's Bay Region,2019.11,74923,P,Number ,0,Actual 
Hawke's Bay Region,2019.12,78044,P,Number ,0,Actual 
Hawke's Bay Region,2020.01,75923,P,Number ,0,Actual 
Hawke's Bay Region,2020.02,76798,P,Number ,0,Actual 
Hawke's Bay Region,2020.03,78961,P,Number ,0,Actual 
Hawke's Bay Region,2020.04,76723,P,Number ,0,Actual 
Hawke's Bay Region,2020.05,76822,P,Number ,0,Actual 
Hawke's Bay Region,2020.06,76468,P,Number ,0,Actual 
Manawatu-Whanganui Region,2019.05,104280,P,Number ,0,Actual 
Manawatu-Whanganui Region,2019.06,104379,P,Number ,0,Actual 
Manawatu-Whanganui Region,2019.07,104799,P,Number ,0,Actual 
Manawatu-Whanganui Region,2019.08,104520,P,Number ,0,Actual 
Manawatu-Whanganui Region,2019.09,105359,P,Number ,0,Actual 
Manawatu-Whanganui Region,2019.1,106140,P,Number ,0,Actual 
Manawatu-Whanganui Region,2019.11,107856,P,Number ,0,Actual 
Manawatu-Whanganui Region,2019.12,108880,P,Number ,0,Actual 
Manawatu-Whanganui Region,2020.01,106228,P,Number ,0,Actual 
Manawatu-Whanganui Region,2020.02,107165,P,Number ,0,Actual 
Manawatu-Whanganui Region,2020.03,107014,P,Number ,0,Actual 
Manawatu-Whanganui Region,2020.04,104920,P,Number ,0,Actual 
Manawatu-Whanganui Region,2020.05,105968,P,Number ,0,Actual 
Manawatu-Whanganui Region,2020.06,106255,P,Number ,0,Actual 
Marlborough Region,2019.05,25784,P,Number ,0,Actual 
Marlborough Region,2019.06,25710,P,Number ,0,Actual 
Marlborough Region,2019.07,25607,P,Number ,0,Actual 
Marlborough Region,2019.08,25402,P,Number ,0,Actual 
Marlborough Region,2019.09,25456,P,Number ,0,Actual 
Marlborough Region,2019.1,25125,P,Number ,0,Actual 
Marlborough Region,2019.11,26453,P,Number ,0,Actual 
Marlborough Region,2019.12,26893,P,Number ,0,Actual 
Marlborough Region,2020.01,26323,P,Number ,0,Actual 
Marlborough Region,2020.02,26418,P,Number ,0,Actual 
Marlborough Region,2020.03,27172,P,Number ,0,Actual 
Marlborough Region,2020.04,26558,P,Number ,0,Actual 
Marlborough Region,2020.05,26485,P,Number ,0,Actual 
Marlborough Region,2020.06,26229,P,Number ,0,Actual 
Nelson Region,2019.05,20061,P,Number ,0,Actual 
Nelson Region,2019.06,19816,P,Number ,0,Actual 
Nelson Region,2019.07,19878,P,Number ,0,Actual 
Nelson Region,2019.08,19826,P,Number ,0,Actual 
Nelson Region,2019.09,19914,P,Number ,0,Actual 
Nelson Region,2019.1,19788,P,Number ,0,Actual 
Nelson Region,2019.11,20467,P,Number ,0,Actual 
Nelson Region,2019.12,20710,P,Number ,0,Actual 
Nelson Region,2020.01,20179,P,Number ,0,Actual 
Nelson Region,2020.02,20265,P,Number ,0,Actual 
Nelson Region,2020.03,20430,P,Number ,0,Actual 
Nelson Region,2020.04,20055,P,Number ,0,Actual 
Nelson Region,2020.05,20094,P,Number ,0,Actual 
Nelson Region,2020.06,20348,P,Number ,0,Actual 
Northland Region,2019.05,67074,P,Number ,0,Actual 
Northland Region,2019.06,66677,P,Number ,0,Actual 
Northland Region,2019.07,66369,P,Number ,0,Actual 
Northland Region,2019.08,66500,P,Number ,0,Actual 
Northland Region,2019.09,67262,P,Number ,0,Actual 
Northland Region,2019.1,67644,P,Number ,0,Actual 
Northland Region,2019.11,69469,P,Number ,0,Actual 
Northland Region,2019.12,70343,P,Number ,0,Actual 
